ride_id,rideable_type,started_at,ended_at,start_station_name,end_station_name,tripduration,member_casual
ride_256466,electric_bike,2024-10-01 01:12:00,2024-10-01 01:26:48,University Pl & E 14 St,Fulton St & Broadway,888,member
ride_913373,electric_bike,2024-09-11 21:08:00,2024-09-11 21:28:54,W 72 St & Columbus Ave,Central Park S & 6 Ave,1254,member
ride_575575,classic_bike,2024-09-14 22:48:00,2024-09-14 23:05:42,University Pl & E 14 St,Broadway & W 60 St,1062,member
ride_352838,classic_bike,2024-09-08 01:31:00,2024-09-08 01:55:06,E 17 St & Broadway,University Pl & E 14 St,1446,member
ride_725380,electric_bike,2024-09-20 15:32:00,2024-09-20 16:24:36,8 Ave & W 31 St,Fulton St & Broadway,3156,casual
ride_696251,electric_bike,2024-09-12 22:54:00,2024-09-12 23:07:48,University Pl & E 14 St,Broadway & W 60 St,828,member
ride_264951,electric_bike,2024-09-14 22:02:00,2024-09-14 22:18:00,8 Ave & W 31 St,University Pl & E 14 St,960,member
ride_466960,classic_bike,2024-09-13 02:56:00,2024-09-13 03:18:00,Hudson St & Reade St,W 21 St & 6 Ave,1320,member
ride_593699,classic_bike,2024-09-08 02:08:00,2024-09-08 02:26:18,University Pl & E 14 St,W 72 St & Columbus Ave,1098,member
ride_745558,classic_bike,2024-09-11 23:39:00,2024-09-11 23:58:12,E 17 St & Broadway,Hudson St & Reade St,1152,member
ride_997004,classic_bike,2024-09-12 20:47:00,2024-09-12 21:16:30,Fulton St & Broadway,Central Park S & 6 Ave,1770,member
ride_221761,classic_bike,2024-09-09 16:32:00,2024-09-09 16:44:54,Broadway & W 60 St,Hudson St & Reade St,774,member
ride_779445,classic_bike,2024-09-09 15:15:00,2024-09-09 15:44:24,W 21 St & 6 Ave,University Pl & E 14 St,1764,member
ride_173201,electric_bike,2024-09-05 20:42:00,2024-09-05 20:47:00,Hudson St & Reade St,8 Ave & W 31 St,300,member
ride_592296,classic_bike,2024-09-13 14:39:00,2024-09-13 15:04:12,8 Ave & W 31 St,E 17 St & Broadway,1512,member
ride_227324,classic_bike,2024-09-30 21:33:00,2024-09-30 21:57:54,Fulton St & Broadway,Hudson St & Reade St,1494,member
ride_562462,classic_bike,2024-09-08 00:14:00,2024-09-08 00:34:06,Central Park S & 6 Ave,W 21 St & 6 Ave,1206,member
ride_550664,electric_bike,2024-09-03 14:53:00,2024-09-03 15:05:06,Hudson St & Reade St,8 Ave & W 31 St,726,member
ride_764406,classic_bike,2024-09-08 17:06:00,2024-09-08 17:20:24,Fulton St & Broadway,E 17 St & Broadway,864,member
ride_466566,classic_bike,2024-09-25 16:57:00,2024-09-25 17:13:42,Central Park S & 6 Ave,Hudson St & Reade St,1002,member
ride_786406,classic_bike,2024-09-14 17:51:00,2024-09-14 18:14:18,Fulton St & Broadway,W 72 St & Columbus Ave,1398,member
ride_746447,classic_bike,2024-10-01 20:09:00,2024-10-01 20:38:54,8 Ave & W 31 St,Fulton St & Broadway,1794,member
ride_442622,classic_bike,2024-09-06 16:47:00,2024-09-06 17:11:48,8 Ave & W 31 St,W 72 St & Columbus Ave,1488,member
ride_962570,electric_bike,2024-09-28 22:37:00,2024-09-28 22:53:18,W 41 St & 8 Ave,W 72 St & Columbus Ave,978,member
ride_800280,classic_bike,2024-09-29 03:34:00,2024-09-29 03:39:42,E 17 St & Broadway,University Pl & E 14 St,342,member
ride_804318,classic_bike,2024-09-22 18:43:00,2024-09-22 19:01:36,University Pl & E 14 St,8 Ave & W 31 St,1116,member
ride_114835,classic_bike,2024-09-04 18:36:00,2024-09-04 19:01:18,8 Ave & W 31 St,W 41 St & 8 Ave,1518,member
ride_638289,classic_bike,2024-09-25 04:03:00,2024-09-25 04:28:54,Broadway & W 60 St,Hudson St & Reade St,1554,member
ride_720995,classic_bike,2024-09-24 20:47:00,2024-09-24 21:12:12,W 72 St & Columbus Ave,Central Park S & 6 Ave,1512,member
ride_913308,classic_bike,2024-10-01 18:52:00,2024-10-01 19:02:24,Fulton St & Broadway,E 17 St & Broadway,624,member
ride_138551,electric_bike,2024-09-29 21:04:00,2024-09-29 21:12:12,University Pl & E 14 St,W 72 St & Columbus Ave,491,member
ride_530816,classic_bike,2024-09-18 16:41:00,2024-09-18 17:09:42,Fulton St & Broadway,W 21 St & 6 Ave,1722,member
ride_678856,classic_bike,2024-09-08 15:31:00,2024-09-08 16:21:42,University Pl & E 14 St,E 17 St & Broadway,3042,casual
ride_447329,classic_bike,2024-09-03 23:49:00,2024-09-04 00:05:42,W 21 St & 6 Ave,University Pl & E 14 St,1002,member
ride_197251,electric_bike,2024-09-06 15:35:00,2024-09-06 16:24:42,W 41 St & 8 Ave,E 17 St & Broadway,2982,casual
ride_573417,classic_bike,2024-09-04 01:11:00,2024-09-04 01:35:36,Fulton St & Broadway,W 72 St & Columbus Ave,1476,member
ride_512344,classic_bike,2024-09-21 21:49:00,2024-09-21 22:05:54,W 21 St & 6 Ave,8 Ave & W 31 St,1013,member
ride_986589,classic_bike,2024-09-17 21:07:00,2024-09-17 21:44:54,W 41 St & 8 Ave,University Pl & E 14 St,2274,member
ride_515922,classic_bike,2024-09-17 03:40:00,2024-09-17 04:05:42,Broadway & W 60 St,Fulton St & Broadway,1542,member
ride_897143,classic_bike,2024-09-27 16:46:00,2024-09-27 17:24:12,8 Ave & W 31 St,Central Park S & 6 Ave,2292,member
ride_361736,classic_bike,2024-09-25 02:34:00,2024-09-25 02:47:12,W 41 St & 8 Ave,Broadway & W 60 St,792,member
ride_327823,classic_bike,2024-09-25 14:55:00,2024-09-25 15:12:12,Central Park S & 6 Ave,W 72 St & Columbus Ave,1032,member
ride_991737,electric_bike,2024-09-30 16:13:00,2024-09-30 16:50:18,W 21 St & 6 Ave,Central Park S & 6 Ave,2238,member
ride_207798,electric_bike,2024-09-27 02:52:00,2024-09-27 03:02:00,8 Ave & W 31 St,Broadway & W 60 St,600,member
ride_443939,classic_bike,2024-09-07 18:00:00,2024-09-07 18:15:48,W 72 St & Columbus Ave,Hudson St & Reade St,948,member
ride_125990,classic_bike,2024-09-06 23:39:00,2024-09-07 00:06:18,8 Ave & W 31 St,Fulton St & Broadway,1638,member
ride_685941,classic_bike,2024-09-13 17:02:00,2024-09-13 17:22:18,Fulton St & Broadway,W 21 St & 6 Ave,1218,member
ride_109717,electric_bike,2024-09-25 21:41:00,2024-09-25 22:00:24,Broadway & W 60 St,W 21 St & 6 Ave,1164,member
ride_220768,electric_bike,2024-09-21 21:15:00,2024-09-21 21:40:30,University Pl & E 14 St,Broadway & W 60 St,1530,member
ride_539486,classic_bike,2024-09-10 15:45:00,2024-09-10 16:10:18,W 41 St & 8 Ave,W 72 St & Columbus Ave,1518,member
ride_882032,classic_bike,2024-09-14 22:13:00,2024-09-14 22:39:30,Broadway & W 60 St,W 21 St & 6 Ave,1590,member
ride_705397,classic_bike,2024-09-10 01:39:00,2024-09-10 02:21:12,W 72 St & Columbus Ave,W 41 St & 8 Ave,2532,casual
ride_352673,classic_bike,2024-10-01 18:54:00,2024-10-01 19:22:36,Hudson St & Reade St,Fulton St & Broadway,1716,member
ride_306647,classic_bike,2024-09-16 04:04:00,2024-09-16 04:32:18,W 41 St & 8 Ave,University Pl & E 14 St,1698,member
ride_965401,classic_bike,2024-09-26 20:05:00,2024-09-26 20:25:06,Hudson St & Reade St,Broadway & W 60 St,1206,member
ride_755788,electric_bike,2024-09-29 14:42:00,2024-09-29 14:52:48,W 41 St & 8 Ave,Hudson St & Reade St,648,member
ride_811256,classic_bike,2024-09-20 18:58:00,2024-09-20 19:20:36,Central Park S & 6 Ave,University Pl & E 14 St,1356,member
ride_630458,classic_bike,2024-09-24 22:09:00,2024-09-24 22:57:36,Hudson St & Reade St,Central Park S & 6 Ave,2916,member
ride_437408,electric_bike,2024-09-08 23:00:00,2024-09-08 23:16:18,University Pl & E 14 St,Hudson St & Reade St,978,member
ride_251716,electric_bike,2024-09-19 03:44:00,2024-09-19 04:03:54,W 21 St & 6 Ave,W 41 St & 8 Ave,1194,member
ride_303322,classic_bike,2024-09-25 23:10:00,2024-09-25 23:22:24,Hudson St & Reade St,W 72 St & Columbus Ave,744,member
ride_428122,classic_bike,2024-09-12 03:00:00,2024-09-12 03:26:48,Central Park S & 6 Ave,University Pl & E 14 St,1608,member
ride_101139,classic_bike,2024-09-19 00:49:00,2024-09-19 01:09:00,E 17 St & Broadway,8 Ave & W 31 St,1200,member
ride_575755,electric_bike,2024-09-27 19:54:00,2024-09-27 20:19:18,Hudson St & Reade St,Broadway & W 60 St,1518,member
ride_904214,electric_bike,2024-09-13 03:31:00,2024-09-13 04:10:00,Broadway & W 60 St,Central Park S & 6 Ave,2340,member
ride_577079,classic_bike,2024-09-06 18:53:00,2024-09-06 19:10:48,Fulton St & Broadway,8 Ave & W 31 St,1068,member
ride_581992,classic_bike,2024-09-10 22:50:00,2024-09-10 23:21:06,W 41 St & 8 Ave,8 Ave & W 31 St,1866,member
ride_493124,classic_bike,2024-09-26 14:56:00,2024-09-26 15:26:54,University Pl & E 14 St,E 17 St & Broadway,1854,member
ride_621841,classic_bike,2024-09-21 00:41:00,2024-09-21 01:04:36,W 72 St & Columbus Ave,Central Park S & 6 Ave,1416,member
ride_661147,electric_bike,2024-09-23 14:35:00,2024-09-23 14:57:48,W 72 St & Columbus Ave,Central Park S & 6 Ave,1368,member
ride_791309,classic_bike,2024-09-19 22:59:00,2024-09-19 23:29:36,W 21 St & 6 Ave,Hudson St & Reade St,1836,member
ride_571578,classic_bike,2024-09-30 20:36:00,2024-09-30 20:57:00,Broadway & W 60 St,W 21 St & 6 Ave,1260,member
ride_250219,classic_bike,2024-09-28 00:13:00,2024-09-28 00:54:36,Central Park S & 6 Ave,W 41 St & 8 Ave,2496,member
ride_205428,classic_bike,2024-09-20 22:44:00,2024-09-20 23:04:18,W 41 St & 8 Ave,Hudson St & Reade St,1218,member
ride_517035,classic_bike,2024-09-12 01:14:00,2024-09-12 01:33:48,E 17 St & Broadway,W 72 St & Columbus Ave,1188,member
ride_275377,electric_bike,2024-09-25 21:56:00,2024-09-25 22:01:00,Fulton St & Broadway,Hudson St & Reade St,300,member
ride_377405,classic_bike,2024-09-16 14:44:00,2024-09-16 15:04:30,E 17 St & Broadway,Broadway & W 60 St,1230,member
ride_570392,classic_bike,2024-09-28 16:38:00,2024-09-28 17:17:24,8 Ave & W 31 St,Hudson St & Reade St,2364,member
ride_465249,classic_bike,2024-09-06 15:00:00,2024-09-06 15:28:36,E 17 St & Broadway,Central Park S & 6 Ave,1716,member
ride_284692,electric_bike,2024-09-22 00:59:00,2024-09-22 01:21:42,8 Ave & W 31 St,Fulton St & Broadway,1362,member
ride_620248,classic_bike,2024-09-13 22:34:00,2024-09-13 22:52:00,W 72 St & Columbus Ave,E 17 St & Broadway,1080,member
ride_299254,classic_bike,2024-09-07 17:51:00,2024-09-07 18:13:48,W 21 St & 6 Ave,Broadway & W 60 St,1368,member
ride_806033,classic_bike,2024-09-19 16:06:00,2024-09-19 16:31:24,E 17 St & Broadway,W 72 St & Columbus Ave,1524,member
ride_640490,electric_bike,2024-09-21 21:40:00,2024-09-21 21:57:36,E 17 St & Broadway,W 41 St & 8 Ave,1056,member
ride_550770,classic_bike,2024-09-19 22:30:00,2024-09-19 22:58:00,Broadway & W 60 St,Central Park S & 6 Ave,1680,member
ride_547470,classic_bike,2024-09-28 23:05:00,2024-09-28 23:10:48,W 72 St & Columbus Ave,Hudson St & Reade St,348,member
ride_701334,classic_bike,2024-09-14 20:05:00,2024-09-14 20:40:00,Broadway & W 60 St,E 17 St & Broadway,2100,member
ride_557007,classic_bike,2024-09-07 23:44:00,2024-09-07 23:50:12,Central Park S & 6 Ave,W 41 St & 8 Ave,372,member
ride_503159,classic_bike,2024-09-02 21:32:00,2024-09-02 22:08:06,E 17 St & Broadway,W 72 St & Columbus Ave,2166,member
ride_705526,classic_bike,2024-09-27 02:33:00,2024-09-27 03:11:12,W 72 St & Columbus Ave,W 41 St & 8 Ave,2292,member
ride_983794,classic_bike,2024-09-14 15:42:00,2024-09-14 16:31:42,Central Park S & 6 Ave,University Pl & E 14 St,2982,casual
ride_262246,electric_bike,2024-09-04 14:48:00,2024-09-04 15:04:00,Hudson St & Reade St,Central Park S & 6 Ave,960,member
ride_404466,classic_bike,2024-09-29 20:15:00,2024-09-29 20:42:06,Hudson St & Reade St,W 72 St & Columbus Ave,1626,member
ride_736565,classic_bike,2024-09-13 15:47:00,2024-09-13 15:59:36,University Pl & E 14 St,Hudson St & Reade St,756,member
ride_568238,electric_bike,2024-09-07 19:07:00,2024-09-07 19:40:54,Fulton St & Broadway,8 Ave & W 31 St,2034,member
ride_117233,classic_bike,2024-09-02 21:10:00,2024-09-02 21:34:24,Fulton St & Broadway,W 72 St & Columbus Ave,1464,member
ride_531071,classic_bike,2024-09-08 21:56:00,2024-09-08 22:19:18,W 41 St & 8 Ave,Fulton St & Broadway,1398,member
ride_156304,classic_bike,2024-09-05 02:38:00,2024-09-05 03:03:06,Hudson St & Reade St,W 41 St & 8 Ave,1506,member
ride_588899,classic_bike,2024-09-09 18:05:00,2024-09-09 18:13:36,Broadway & W 60 St,Fulton St & Broadway,516,member
ride_952547,classic_bike,2024-09-18 03:05:00,2024-09-18 03:31:06,W 72 St & Columbus Ave,Central Park S & 6 Ave,1566,member
ride_575435,classic_bike,2024-09-12 01:37:00,2024-09-12 02:26:36,University Pl & E 14 St,Broadway & W 60 St,2976,casual
ride_246570,classic_bike,2024-09-30 17:15:00,2024-09-30 17:32:30,8 Ave & W 31 St,W 72 St & Columbus Ave,1050,member
ride_574751,classic_bike,2024-10-01 18:50:00,2024-10-01 19:16:42,W 41 St & 8 Ave,University Pl & E 14 St,1602,member
ride_701949,classic_bike,2024-09-06 22:48:00,2024-09-06 23:08:42,E 17 St & Broadway,W 21 St & 6 Ave,1242,member
ride_443254,classic_bike,2024-09-11 00:57:00,2024-09-11 01:24:54,Broadway & W 60 St,Fulton St & Broadway,1674,member
ride_777513,electric_bike,2024-09-05 15:51:00,2024-09-05 16:23:06,E 17 St & Broadway,W 72 St & Columbus Ave,1926,member
ride_516359,electric_bike,2024-09-19 18:02:00,2024-09-19 18:24:06,W 41 St & 8 Ave,E 17 St & Broadway,1326,member
ride_192410,electric_bike,2024-09-22 20:31:00,2024-09-22 20:57:48,Fulton St & Broadway,W 41 St & 8 Ave,1608,member
ride_468074,electric_bike,2024-09-09 01:14:00,2024-09-09 01:35:24,Broadway & W 60 St,University Pl & E 14 St,1284,member
ride_552248,electric_bike,2024-09-15 23:04:00,2024-09-15 23:32:54,Central Park S & 6 Ave,University Pl & E 14 St,1734,member
ride_845957,classic_bike,2024-09-24 01:00:00,2024-09-24 01:18:54,Hudson St & Reade St,E 17 St & Broadway,1134,member
ride_584172,electric_bike,2024-10-01 14:52:00,2024-10-01 15:17:18,E 17 St & Broadway,W 41 St & 8 Ave,1518,member
ride_955088,classic_bike,2024-09-21 04:09:00,2024-09-21 04:19:24,W 41 St & 8 Ave,Fulton St & Broadway,624,member
ride_897423,classic_bike,2024-09-23 20:07:00,2024-09-23 20:33:54,Central Park S & 6 Ave,W 72 St & Columbus Ave,1614,member
ride_929822,classic_bike,2024-09-27 17:31:00,2024-09-27 17:56:06,E 17 St & Broadway,University Pl & E 14 St,1506,member
ride_693418,classic_bike,2024-09-19 20:39:00,2024-09-19 20:59:36,Hudson St & Reade St,University Pl & E 14 St,1236,member
ride_221552,classic_bike,2024-09-27 21:35:00,2024-09-27 22:07:48,Broadway & W 60 St,University Pl & E 14 St,1967,member
ride_510133,classic_bike,2024-09-04 23:03:00,2024-09-04 23:13:36,Fulton St & Broadway,W 41 St & 8 Ave,636,member
ride_757685,classic_bike,2024-09-30 00:07:00,2024-09-30 00:38:00,W 72 St & Columbus Ave,W 41 St & 8 Ave,1860,member
ride_464069,classic_bike,2024-09-19 01:49:00,2024-09-19 02:17:24,W 72 St & Columbus Ave,W 21 St & 6 Ave,1704,member
ride_507723,classic_bike,2024-09-14 02:09:00,2024-09-14 02:27:18,Fulton St & Broadway,University Pl & E 14 St,1098,member
ride_172965,classic_bike,2024-09-09 14:41:00,2024-09-09 15:08:00,W 72 St & Columbus Ave,University Pl & E 14 St,1620,member
ride_952993,classic_bike,2024-09-19 21:09:00,2024-09-19 21:37:06,Central Park S & 6 Ave,8 Ave & W 31 St,1686,member
ride_444061,classic_bike,2024-09-17 18:43:00,2024-09-17 19:07:18,Broadway & W 60 St,W 41 St & 8 Ave,1458,member
ride_232378,classic_bike,2024-09-12 03:11:00,2024-09-12 03:36:36,Fulton St & Broadway,W 21 St & 6 Ave,1536,member
ride_895667,electric_bike,2024-09-06 01:37:00,2024-09-06 02:38:18,Broadway & W 60 St,W 21 St & 6 Ave,3678,casual
ride_796212,classic_bike,2024-09-29 18:44:00,2024-09-29 18:55:18,Central Park S & 6 Ave,W 41 St & 8 Ave,678,member
ride_365971,classic_bike,2024-09-06 23:05:00,2024-09-06 23:43:06,University Pl & E 14 St,W 41 St & 8 Ave,2286,member
ride_725550,classic_bike,2024-09-12 15:46:00,2024-09-12 16:16:54,W 21 St & 6 Ave,8 Ave & W 31 St,1854,member
ride_589491,classic_bike,2024-09-20 20:06:00,2024-09-20 20:27:06,Fulton St & Broadway,W 72 St & Columbus Ave,1266,member
ride_151328,classic_bike,2024-09-07 03:50:00,2024-09-07 04:19:30,University Pl & E 14 St,W 72 St & Columbus Ave,1770,member
ride_820184,classic_bike,2024-09-30 20:36:00,2024-09-30 20:55:18,W 41 St & 8 Ave,8 Ave & W 31 St,1158,member
ride_195674,electric_bike,2024-09-24 23:11:00,2024-09-24 23:27:00,University Pl & E 14 St,Hudson St & Reade St,960,member
ride_633469,electric_bike,2024-09-30 18:40:00,2024-09-30 18:57:36,8 Ave & W 31 St,University Pl & E 14 St,1056,member
ride_898975,classic_bike,2024-09-24 15:43:00,2024-09-24 16:35:24,Broadway & W 60 St,W 72 St & Columbus Ave,3144,casual
ride_434617,electric_bike,2024-09-17 16:53:00,2024-09-17 17:25:30,Hudson St & Reade St,E 17 St & Broadway,1950,member
ride_697766,classic_bike,2024-09-03 23:38:00,2024-09-04 00:12:42,Central Park S & 6 Ave,W 21 St & 6 Ave,2082,member
ride_694223,classic_bike,2024-09-03 04:15:00,2024-09-03 04:44:54,8 Ave & W 31 St,Broadway & W 60 St,1794,member
ride_408036,electric_bike,2024-09-17 02:35:00,2024-09-17 02:56:30,8 Ave & W 31 St,W 72 St & Columbus Ave,1290,member
ride_651640,classic_bike,2024-09-21 16:46:00,2024-09-21 17:13:36,8 Ave & W 31 St,Fulton St & Broadway,1656,member
ride_579123,classic_bike,2024-09-12 23:07:00,2024-09-12 23:27:12,E 17 St & Broadway,W 72 St & Columbus Ave,1212,member
ride_257131,classic_bike,2024-09-10 15:33:00,2024-09-10 16:03:12,W 72 St & Columbus Ave,Hudson St & Reade St,1812,member
ride_971084,classic_bike,2024-09-24 04:07:00,2024-09-24 04:27:36,W 41 St & 8 Ave,Central Park S & 6 Ave,1236,member
ride_888795,classic_bike,2024-10-01 19:31:00,2024-10-01 19:45:18,W 72 St & Columbus Ave,8 Ave & W 31 St,858,member
ride_895794,classic_bike,2024-09-26 01:14:00,2024-09-26 01:51:06,W 41 St & 8 Ave,W 21 St & 6 Ave,2226,member
ride_479781,classic_bike,2024-09-21 00:51:00,2024-09-21 01:21:18,E 17 St & Broadway,Fulton St & Broadway,1818,member
ride_374258,classic_bike,2024-09-03 18:51:00,2024-09-03 19:12:36,W 72 St & Columbus Ave,W 21 St & 6 Ave,1296,member
ride_717024,electric_bike,2024-09-04 15:45:00,2024-09-04 16:08:12,Hudson St & Reade St,Central Park S & 6 Ave,1392,member
ride_329344,classic_bike,2024-09-18 14:56:00,2024-09-18 15:25:18,8 Ave & W 31 St,W 21 St & 6 Ave,1758,member
ride_108203,classic_bike,2024-09-26 18:40:00,2024-09-26 18:52:42,W 72 St & Columbus Ave,Hudson St & Reade St,762,member
ride_102260,classic_bike,2024-09-14 22:00:00,2024-09-14 22:23:48,8 Ave & W 31 St,Fulton St & Broadway,1428,member
ride_676429,classic_bike,2024-09-27 22:48:00,2024-09-27 23:12:36,Fulton St & Broadway,Hudson St & Reade St,1476,member
ride_777558,electric_bike,2024-09-29 22:42:00,2024-09-29 22:54:24,University Pl & E 14 St,Broadway & W 60 St,744,member
ride_311883,electric_bike,2024-09-18 00:46:00,2024-09-18 01:14:24,Fulton St & Broadway,Central Park S & 6 Ave,1704,member
ride_870571,classic_bike,2024-09-23 00:14:00,2024-09-23 00:38:06,W 41 St & 8 Ave,Broadway & W 60 St,1446,member
ride_965322,classic_bike,2024-09-12 00:08:00,2024-09-12 00:29:54,W 72 St & Columbus Ave,W 21 St & 6 Ave,1314,member
ride_448354,classic_bike,2024-09-19 15:38:00,2024-09-19 15:52:36,W 21 St & 6 Ave,Fulton St & Broadway,876,member
ride_585494,classic_bike,2024-09-20 22:38:00,2024-09-20 22:59:12,W 21 St & 6 Ave,W 41 St & 8 Ave,1272,member
ride_832614,electric_bike,2024-09-07 21:07:00,2024-09-07 21:30:36,E 17 St & Broadway,W 41 St & 8 Ave,1416,member
ride_264136,classic_bike,2024-09-14 17:46:00,2024-09-14 18:05:30,Hudson St & Reade St,E 17 St & Broadway,1170,member
ride_986438,classic_bike,2024-09-06 01:00:00,2024-09-06 01:17:36,E 17 St & Broadway,University Pl & E 14 St,1056,member
ride_901577,classic_bike,2024-09-11 03:06:00,2024-09-11 03:31:12,E 17 St & Broadway,W 72 St & Columbus Ave,1512,member
ride_996865,electric_bike,2024-09-10 15:36:00,2024-09-10 16:27:18,Broadway & W 60 St,E 17 St & Broadway,3078,casual
ride_316092,electric_bike,2024-09-24 00:56:00,2024-09-24 01:19:06,W 21 St & 6 Ave,Broadway & W 60 St,1386,member
